|---------------------------------------------------|-----------------------------------------------------------|
| Question                                          | Answer                                                    |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the legal outcome of Case?                | violation of Articles 5 and 8 of the Convention           |
|---------------------------------------------------|-----------------------------------------------------------|
| Which legal case is associated with Violation?    | :Case_Hajduova_v_Slovakia                                 |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the legal status?                         | final                                                     |
|---------------------------------------------------|-----------------------------------------------------------|
| How much in legal damages and costs were awarded? |                                                           |
|---------------------------------------------------|-----------------------------------------------------------|
| Which court judged the Case?                      | the European Court of Human Rights                        |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the reason stated for the judgment?       | failure to order psychiatric detention of the perpetrator |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the context of Abuse?                     | Threats against Marta Hajduova's lawyer and her employee  |
|---------------------------------------------------|-----------------------------------------------------------|
| What are the consequences of Abuse?               | Renewed threats against Marta Hajduova and her lawyer     |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the duration and frequency of Abuse?      |                                                           |
|---------------------------------------------------|-----------------------------------------------------------|
| What is the severity level of Abuse?              |                                                           |
|---------------------------------------------------|-----------------------------------------------------------|
| Which legal article are violated?                 | Articles 5 and 8 of the Convention                        |
|---------------------------------------------------|-----------------------------------------------------------|
| What abuse is related to Judgment?                | :Abuse_Incident involving emotional abuse                 |
|---------------------------------------------------|-----------------------------------------------------------|
| What are the damages related to Judgment?         | Compensation for Marta Hajduova                                     |
|---------------------------------------------------|-----------------------------------------------------------|
